Title,Original Price,Promotional Price,Psplus Price,Max_price,Min_price,Min_price_plus,url_games
Zombieland: Double Tap- Road Trip,"R$ 199,50","R$ 49,87","R$ 49,87","R$ 199,50","R$ 49,87","R$ 49,87",/ps4-store-br/zombieland-double-tap-road-trip-game-38512/
Contraptions,"R$ 53,90","R$ 16,17","R$ 13,47","R$ 53,90","R$ 16,17","R$ 13,47",/ps4-store-br/contraptions-game-38522/
Concrete Genie,"R$ 119,90","R$ 59,95","R$ 59,95","R$ 119,90","R$ 47,96",Free,/ps4-store-br/concrete-genie-game-38526/
GRID Ultimate Edition,"R$ 249,90","R$ 56,12","R$ 56,12","R$ 249,90","R$ 56,12","R$ 56,12",/ps4-store-br/grid-ultimate-edition-game-38528/
Trine 4: The Nightmare Prince,"R$ 124,90","R$ 31,22","R$ 31,22","R$ 124,90","R$ 31,22","R$ 31,22",/ps4-store-br/trine-4-the-nightmare-prince-game-38536/
Tom Clancy’s Ghost Recon Breakpoint,"R$ 229,99","R$ 57,49","R$ 57,49","R$ 229,99","R$ 34,49","R$ 34,49",/ps4-store-br/tom-clancys-ghost-recon-breakpoint-game-38543/
Tom Clancy’s Ghost Recon Breakpoint Ultimate Edition,"R$ 459,99","R$ 114,99","R$ 114,99","R$ 459,99","R$ 114,99","R$ 114,99",/ps4-store-br/tom-clancys-ghost-recon-breakpoint-ultimate-edition-game-38545/
CODE VEIN,"R$ 299,90","R$ 74,97","R$ 74,97","R$ 299,90","R$ 74,97","R$ 74,97",/ps4-store-br/code-vein-game-38561/
Tropico 6 El Prez Edition,"R$ 269,90","R$ 121,45","R$ 121,45","R$ 269,90","R$ 121,45","R$ 116,05",/ps4-store-br/tropico-6-el-prez-edition-game-38565/
L.A. Noire: The VR Case Files,"R$ 159,90","R$ 79,95","R$ 79,95","R$ 159,90","R$ 62,45","R$ 62,45",/ps4-store-br/la-noire-the-vr-case-files-game-38573/
Mutazione,"R$ 104,90","R$ 78,67","R$ 70,27","R$ 104,90","R$ 62,62","R$ 58,44",/ps4-store-br/mutazione-game-38582/
Bus Simulator,"R$ 164,90","R$ 82,45","R$ 82,45","R$ 164,90","R$ 82,45","R$ 74,20",/ps4-store-br/bus-simulator-game-38593/
Agatha Knife,"R$ 64,50","R$ 38,70","R$ 32,25","R$ 64,50","R$ 38,70","R$ 32,25",/ps4-store-br/agatha-knife-game-38612/
Battlewake,"R$ 159,90","R$ 47,97","R$ 47,97","R$ 159,90","R$ 39,97","R$ 39,97",/ps4-store-br/battlewake-game-38615/
The Walking Dead: The Telltale Definitive Series,"R$ 249,50","R$ 149,70","R$ 149,70","R$ 249,50","R$ 103,95","R$ 103,95",/ps4-store-br/the-walking-dead-the-telltale-definitive-series-game-38624/
Catherine: Full Body,"R$ 249,90","R$ 99,75","R$ 99,75","R$ 249,90","R$ 99,75","R$ 99,75",/ps4-store-br/catherine-full-body-game-38642/
Catherine: Full Body Digital Deluxe Edition,"R$ 332,90","R$ 103,95","R$ 103,95","R$ 332,90","R$ 103,95","R$ 103,95",/ps4-store-br/catherine-full-body-digital-deluxe-edition-game-38643/
Torchlight II,"R$ 104,90","R$ 52,45","R$ 52,45","R$ 104,90","R$ 50,10","R$ 50,10",/ps4-store-br/torchlight-ii-game-38652/
DiRT Rally 2.0 - Game of the Year Edition,"R$ 249,90","R$ 62,47","R$ 62,47","R$ 249,90","R$ 49,98","R$ 37,48",/ps4-store-br/dirt-rally-20-game-of-the-year-edition-game-38666/
The Bard’s Tale IV: Director’s Cut,"R$ 164,90","R$ 41,22","R$ 32,97","R$ 164,90","R$ 41,22","R$ 32,97",/ps4-store-br/the-bards-tale-iv-directors-cut-game-38673/
F1® 2019,"R$ 299,90","R$ 62,37","R$ 62,37","R$ 299,90","R$ 62,37","R$ 49,97",/ps4-store-br/f1-2019-game-38688/
